ID,Ca,Y,EA,s@300,logs@300
42,12,8,0.370843227,1.93E-05,-4.714442691
43,12,12,0.410721853,5.58E-06,-5.253365801
44,12,16,0.378490585,1.37E-05,-4.863279433
45,12,20,0.376437789,1.52E-05,-4.818156412
46,12,24,0.396330448,8.03E-06,-5.095284455
47,12,28,0.394321329,7.97E-06,-5.098541679
48,12,32,0.412323986,4.77E-06,-5.321481621
49,12,36,0.432099512,2.60E-06,-5.585026652
50,12,40,0.414422443,4.38E-06,-5.358525889
51,12,44,0.41940752,3.86E-06,-5.413412695
52,12,48,0.447233418,1.51E-06,-5.821023053
53,16,0,0.37741654,1.53E-05,-4.815308569
54,16,4,0.368274255,2.00E-05,-4.698970004
55,16,8,0.412377589,5.08E-06,-5.294136288
56,16,12,0.396405889,8.33E-06,-5.079354999
57,16,16,0.381089336,1.28E-05,-4.89279003
58,16,20,0.412218766,5.30E-06,-5.27572413
59,16,24,0.385784559,1.13E-05,-4.946921557
60,16,28,0.449246508,1.66E-06,-5.779891912
61,16,32,0.418305681,4.17E-06,-5.379863945
62,16,36,0.431583336,2.64E-06,-5.578396073
63,16,40,0.416556636,4.11E-06,-5.386158178
64,16,44,0.421543698,3.77E-06,-5.42365865
65,16,48,0.427114436,3.09E-06,-5.510041521
66,20,0,0.357561602,2.91E-05,-4.536107011
67,20,4,0.376723672,1.59E-05,-4.798602876
68,20,8,0.390465886,1.02E-05,-4.991399828
69,20,12,0.39042618,1.00E-05,-5
70,20,16,0.419816491,4.28E-06,-5.368556231
71,20,20,0.381162792,1.28E-05,-4.89279003
72,20,24,0.392415446,9.22E-06,-5.035269079
73,20,28,0.401297657,6.96E-06,-5.15739076
74,20,32,0.407589057,5.59E-06,-5.252588192
75,20,36,0.438678781,2.19E-06,-5.659555885
76,20,40,0.422560169,3.50E-06,-5.455931956
77,20,44,0.445823859,1.80E-06,-5.744727495
78,20,48,0.441795694,2.01E-06,-5.696803943
79,24,0,0.376094333,1.60E-05,-4.795880017
80,24,4,0.378232496,1.56E-05,-4.806875402
81,24,8,0.359858589,2.65E-05,-4.576754126
82,24,12,0.417265386,4.43E-06,-5.353596274
83,24,16,0.416745239,4.58E-06,-5.339134522
84,24,20,0.395597874,8.49E-06,-5.07109231
85,24,24,0.411458398,5.17E-06,-5.286509457
86,24,28,0.430944071,2.96E-06,-5.528708289
87,24,32,0.434035175,2.74E-06,-5.562249437
88,24,36,0.411843545,5.00E-06,-5.301029996
89,24,40,0.420429947,3.91E-06,-5.407823243
90,24,44,0.431873189,2.79E-06,-5.554395797
91,24,48,0.469764534,8.61E-07,-6.064996849
92,28,0,0.35949925,3.01E-05,-4.521433504
93,28,4,0.369221241,2.11E-05,-4.675717545
94,28,8,0.377910878,1.57E-05,-4.804100348
95,28,12,0.40165898,7.69E-06,-5.11407366
96,28,16,0.424664582,3.91E-06,-5.407823243
97,28,20,0.387767869,1.16E-05,-4.935542011
98,28,24,0.419907814,4.35E-06,-5.361510743
99,28,28,0.407678396,5.98E-06,-5.223298816
100,28,32,0.433131866,2.83E-06,-5.548213564
101,28,36,0.438273781,2.30E-06,-5.638272164
102,28,40,0.462905339,1.09E-06,-5.962573502
103,28,44,0.453572466,1.56E-06,-5.806875402
104,28,48,0.469103431,9.29E-07,-6.031984286
105,32,0,0.368371535,2.29E-05,-4.640164518
106,32,4,0.369457491,2.13E-05,-4.671620397
107,32,8,0.40381104,7.40E-06,-5.13076828
108,32,12,0.400878759,8.51E-06,-5.07007044
109,32,16,0.415450826,5.22E-06,-5.282329497
110,32,20,0.416256856,4.86E-06,-5.313363731
